code,name,r,g,b,type
#857b97,PLASCON P3-C1-3 — Plascon Colour Inspired,133,123,151,Лето
#9990a9,PLASCON P3-C1-4 — Plascon Colour Inspired,153,144,169,Лето
#aca4ba,PLASCON P3-C2-1 — Plascon Colour Inspired,172,164,186,Лето
#bfb8c9,PLASCON P3-C2-2 — Plascon Colour Inspired,191,184,201,Лето
#d8d1dd,PLASCON P3-C2-3 — Plascon Colour Inspired,216,209,221,Лето
#7d7789,PLASCON P3-D1-3 — Plascon Colour Inspired,125,119,137,Лето
#908b9b,PLASCON P3-D1-4 — Plascon Colour Inspired,144,139,155,Лето
#a19caa,PLASCON P3-D2-1 — Plascon Colour Inspired,161,156,170,Лето
#b7b1be,PLASCON P3-D2-2 — Plascon Colour Inspired,183,177,190,Лето
#cac6d3,PLASCON P3-D2-3 — Plascon Colour Inspired,202,198,211,Лето
#88848f,PLASCON P3-E1-4 — Plascon Colour Inspired,136,132,143,Лето
#9a95a0,PLASCON P3-E2-1 — Plascon Colour Inspired,154,149,160,Лето
#aba7b2,PLASCON P3-E2-2 — Plascon Colour Inspired,171,167,178,Лето
#beb9c6,PLASCON P3-E2-3 — Plascon Colour Inspired,190,185,198,Лето
#9477af,PLASCON P4-A1-2 — Plascon Colour Inspired,148,119,175,Лето
#b096c8,PLASCON P4-A1-3 — Plascon Colour Inspired,176,150,200,Лето
#c3acd5,PLASCON P4-A1-4 — Plascon Colour Inspired,195,172,213,Лето
#d4c3df,PLASCON P4-A2-1 — Plascon Colour Inspired,212,195,223,Лето
#e0d3e5,PLASCON P4-A2-2 — Plascon Colour Inspired,224,211,229,Лето
#e4dde6,PLASCON P4-A2-3 — Plascon Colour Inspired,228,221,230,Лето
#8b749e,PLASCON P4-B1-2 — Plascon Colour Inspired,139,116,158,Лето
#a48eb4,PLASCON P4-B1-3 — Plascon Colour Inspired,164,142,180,Лето
#b4a1c3,PLASCON P4-B1-4 — Plascon Colour Inspired,180,161,195,Лето
#c9b8d3,PLASCON P4-B2-1 — Plascon Colour Inspired,201,184,211,Лето
#d7cadc,PLASCON P4-B2-2 — Plascon Colour Inspired,215,202,220,Лето
#e4dde4,PLASCON P4-B2-3 — Plascon Colour Inspired,228,221,228,Лето
#8c7a97,PLASCON P4-C1-3 — Plascon Colour Inspired,140,122,151,Лето
#9d8fa7,PLASCON P4-C1-4 — Plascon Colour Inspired,157,143,167,Лето
#ada1b7,PLASCON P4-C2-1 — Plascon Colour Inspired,173,161,183,Лето
#c1b7c9,PLASCON P4-C2-2 — Plascon Colour Inspired,193,183,201,Лето
#d9d1df,PLASCON P4-C2-3 — Plascon Colour Inspired,217,209,223,Лето
#928899,PLASCON P4-D1-4 — Plascon Colour Inspired,146,136,153,Лето
#a69dad,PLASCON P4-D2-1 — Plascon Colour Inspired,166,157,173,Лето
#bbb2bf,PLASCON P4-D2-2 — Plascon Colour Inspired,187,178,191,Лето
#cdc4d1,PLASCON P4-D2-3 — Plascon Colour Inspired,205,196,209,Лето
#8b8590,PLASCON P4-E1-4 — Plascon Colour Inspired,139,133,144,Лето
#9b95a0,PLASCON P4-E2-1 — Plascon Colour Inspired,155,149,160,Лето
#aaa4af,PLASCON P4-E2-2 — Plascon Colour Inspired,170,164,175,Лето
#c1bac6,PLASCON P4-E2-3 — Plascon Colour Inspired,193,186,198,Лето
#a074aa,PLASCON P5-A1-2 — Plascon Colour Inspired,160,116,170,Лето
#ba90bf,PLASCON P5-A1-3 — Plascon Colour Inspired,186,144,191,Лето
#d1afd4,PLASCON P5-A1-4 — Plascon Colour Inspired,209,175,212,Лето
#dec5e1,PLASCON P5-A2-1 — Plascon Colour Inspired,222,197,225,Лето
#e5d6e5,PLASCON P5-A2-2 — Plascon Colour Inspired,229,214,229,Лето
#e8dfe7,PLASCON P5-A2-3 — Plascon Colour Inspired,232,223,231,Лето
#93719b,PLASCON P5-B1-2 — Plascon Colour Inspired,147,113,155,Лето
#a88bae,PLASCON P5-B1-3 — Plascon Colour Inspired,168,139,174,Лето
#bba1c1,PLASCON P5-B1-4 — Plascon Colour Inspired,187,161,193,Лето
#cbb6cf,PLASCON P5-B2-1 — Plascon Colour Inspired,203,182,207,Лето
#dacbdc,PLASCON P5-B2-2 — Plascon Colour Inspired,218,203,220,Лето
#917a95,PLASCON P5-C1-3 — Plascon Colour Inspired,145,122,149,Лето
#a38ea7,PLASCON P5-C1-4 — Plascon Colour Inspired,163,142,167,Лето
#b6a3b7,PLASCON P5-C2-1 — Plascon Colour Inspired,182,163,183,Лето
#c7b8c9,PLASCON P5-C2-2 — Plascon Colour Inspired,199,184,201,Лето
#dcd0dd,PLASCON P5-C2-3 — Plascon Colour Inspired,220,208,221,Лето
#968896,PLASCON P5-D1-4 — Plascon Colour Inspired,150,136,150,Лето
#a89ca9,PLASCON P5-D2-1 — Plascon Colour Inspired,168,156,169,Лето
#cec4d0,PLASCON P5-D2-3 — Plascon Colour Inspired,206,196,208,Лето
#8b838d,PLASCON P5-E1-4 — Plascon Colour Inspired,139,131,141,Лето
#9d949e,PLASCON P5-E2-1 — Plascon Colour Inspired,157,148,158,Лето
#b1a8b3,PLASCON P5-E2-2 — Plascon Colour Inspired,177,168,179,Лето
#c3b8c4,PLASCON P5-E2-3 — Plascon Colour Inspired,195,184,196,Лето
#ad73a7,PLASCON P6-A1-2 — Plascon Colour Inspired,173,115,167,Лето
#c392be,PLASCON P6-A1-3 — Plascon Colour Inspired,195,146,190,Лето
#d7add1,PLASCON P6-A1-4 — Plascon Colour Inspired,215,173,209,Лето
#e4c4e1,PLASCON P6-A2-1 — Plascon Colour Inspired,228,196,225,Лето
